Mesdesubasta;Subasta 1;Subasta 2;Subasta 3;Subasta 4;Subasta 5;Subasta 6;Subasta 7;Subasta 8;Subasta 9;Subasta 10;Subasta 11;Subasta 12;Subasta 13;Subasta 14;Subasta 15
1;297.308;430.034;438.529;297.308;297.308;237.846;67.956;59.462;59.462;59.462;0;0;0;0;0
2;509.139;562.761;388.623;297.308;244.217;237.846;67.956;50.967;50.967;50.967;0;0;0;0;0
3;397.118;479.939;438.529;244.217;237.846;161.396;59.462;50.967;50.967;50.967;0;0;0;0;0
4;237.846;479.939;438.529;237.846;297.308;237.846;59.462;59.462;50.967;50.967;0;0;0;0;0
5;280.319;430.034;438.529;297.308;347.213;244.217;84.945;59.462;59.462;59.462;0;0;0;0;0
6;237.846;367.918;367.918;297.308;297.308;297.308;67.956;59.462;59.462;59.462;0;0;0;0;0
7;244.217;388.623;367.918;297.308;244.217;237.846;59.462;59.462;59.462;59.462;0;0;0;0;0
8;237.846;479.939;397.118;237.846;237.846;115.738;59.462;59.462;59.462;59.462;0;0;0;0;0
9;297.308;388.623;367.918;297.308;244.217;208.115;59.462;59.462;59.462;59.462;0;0;0;0;0
10;297.308;479.939;347.213;208.115;246.871;59.462;0;0;0;0;0;0;0;0;0
11;347.213;430.034;388.623;347.213;347.213;191.126;84.945;67.956;89.192;89.192;0;0;0;0;0
12;347.213;479.939;438.529;347.213;244.217;237.846;67.956;67.956;89.192;89.192;0;0;0;0;0
13;242.786;480.701;389.902;0;0;481.743;240.220;0;0;145.716;120.966;119.866;143.584;121.936;0
14;259.691;0;420.905;0;122.100;478.762;242.507;0;0;241.127;182.766;150.101;239.033;181.203;0
15;320.871;481.844;0;0;0;362.223;292.764;362.590;362.334;143.318;119.153;121.974;143.366;119.558;0
16;203.730;485.616;0;0;338.207;0;360.892;0;0;242.010;262.961;269.016;239.014;266.536;18.520
17;148.920;423.466;388.959;334.296;238.165;361.182;243.635;365.614;299.473;244.364;180.805;150.206;240.736;182.769;0
18;208.326;489.624;363.289;331.369;215.070;364.978;218.789;362.638;302.601;238.522;217.501;219.204;166.901;119.321;0
19;359.074;458.319;0;0;334.415;243.481;242.116;0;0;239.718;241.556;180.357;240.268;151.627;0
20;388.765;419.024;476.943;239.323;0;239.675;179.870;242.425;245.463;241.725;150.280;182.482;219.797;181.452;0
21;359.315;391.644;363.314;245.468;0;336.311;216.107;241.431;244.643;142.741;122.486;121.622;122.592;118.284;0
22;338.795;0;0;0;0;0;0;0;0;238.271;218.099;215.948;144.481;121.941;0
23;274.931;381.722;362.219;312.206;359.971;290.009;166.660;167.533;240.505;181.543;143.787;142.952;121.019;141.575;0
24;317.219;417.929;361.384;357.371;342.302;331.756;163.969;216.044;239.820;181.862;86.087;86.478;83.231;21.190;0
