step;excess %
1;350
2;150
3;50
4;100
5;100
6;0
7;0
8;0
9;0
10;600
11;500
12;0
13;700
15;0
16;0
17;600
18;450
19;0
20;550
21;350
22;0
23;0
24;433
25;267
26;17
27;117
28;100
29;0
30;800
31;550
32;50
33;400
34;350
35;0
36;0
37;50
38;50
39;200
40;150
41;100
42;0
43;0
44;0
45;0
46;400
47;350
48;50
49;0
50;500
51;400
52;50
53;350
54;0
55;0
56;267
57;217
58;0
59;0
60;100
61;0
62;33
63;0
64;200
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;144
74;89
75;33
76;56
77;22
78;0
79;0
80;0
81;0
82;0
83;400
85;0
86;0
87;0
88;0
89;0
90;150
91;117
92;33
93;83
94;50
95;0
96;0
97;0
98;0
99;0
100;0
101;0
103;0
104;0
105;0
106;600
107;300
108;100
109;200
110;100
111;0
112;117
113;58
114;17
115;50
116;33
117;0
118;0
119;400
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;550
129;350
130;50
131;250
132;0
133;550
134;350
135;50
136;200
137;0
138;109
139;36
140;9
141;18
142;18
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;600
154;400
155;100
156;200
157;100
158;0
159;0
160;80
161;30
162;30
163;20
164;10
165;0
166;0
167;400
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;200
178;100
179;100
180;0
181;100
182;38
183;13
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;800
194;400
195;100
196;400
197;300
198;800
199;500
200;100
201;400
202;400
203;122
204;67
205;11
206;44
207;22
208;0
209;200
210;0
211;700
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;140
223;80
224;30
225;60
226;30
227;0
228;0
229;100
230;0
231;0
232;300
233;0
234;300
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;150
243;100
244;0
245;0
246;100
247;0
248;0
249;300
250;0
251;300
252;0
253;0
254;0
255;0
256;0
257;0
258;0
259;150
260;100
261;0
262;0
263;100
264;50
265;0
266;0
267;50
268;0
269;0
270;300
271;0
272;133
273;33
274;133
275;33
277;250
278;100
279;100
280;0
281;250
283;100
284;50
285;0
286;150
287;100
288;0
289;400
290;300
291;0
293;75
294;25
295;50
296;0
297;500
298;300
299;100
300;-100
301;100
302;0
303;0
304;50
305;36
306;21
308;21
309;14
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0
322;500
323;500
324;300
325;61
326;0
327;900
328;800
329;500
330;61
331;125
332;100
333;42
334;8
335;-8
336;0
337;267
338;233
339;0
340;800
341;500
342;0
343;0
344;0
345;0
346;0
347;1000
348;700
349;500
351;600
352;500
354;300
355;-100
356;0
357;67
358;47
360;20
361;-20
362;7
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0
372;0
373;0
374;300
375;200
376;167
377;67
378;-67
379;67
380;0
381;80
382;67
383;60
384;13
385;-7
386;13
387;7
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;1200
399;1000
400;500
401;200
402;-100
403;0
404;1100
405;700
406;500
407;100
408;-100
409;100
410;0
411;114
412;93
413;71
414;50
415;0
416;440
417;380
418;300
419;260
420;260
421;180
422;80
423;40
424;0
425;800
426;650
427;600
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;115
439;100
440;85
441;46
442;15
443;-8
444;0
445;633
446;467
447;367
448;333
449;0
450;800
451;750
452;700
453;700
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;1100
462;1000
463;800
464;700
465;600
466;0
467;150
468;150
469;125
470;92
471;75
472;42
473;25
474;17
475;8
476;0
477;1500
478;1300
479;1300
480;1300
481;1100
482;1100
483;1100
484;1100
485;0
486;767
487;733
488;733
489;733
490;667
491;667
492;667
493;667
494;600
495;467
496;467
497;433
498;433
499;433
500;433
501;433
502;433
503;333
504;300
505;233
506;233
507;233
508;233
509;1500
510;1400
511;1400
512;1200
513;1000
514;1000
515;1000
516;1000
517;1400
518;1300
519;1200
520;1100
521;900
522;900
523;800
524;800
525;800
526;600
527;600
528;600
529;600
530;600
531;600
532;600
533;600
534;500
535;500
536;500
537;500
538;500
539;400
540;1400
541;1400
542;1400
543;1300
544;1100
545;1100
546;1000
547;1000
548;900
549;700
550;600
551;600
552;600
553;600
554;600
555;500
556;500
557;300
558;200
559;200
560;200
561;200
562;200
563;200
564;100
565;-200
566;100
567;100
568;0
569;0
570;0
571;0
572;0
573;0
574;0
575;162
576;154
577;154
578;154
579;139
580;108
581;92
582;85
583;85
584;77
585;77
586;77
587;77
588;77
589;69
590;62
591;62
592;62
593;62
594;46
595;46
596;46
597;39
598;39
599;23
600;0
601;300
602;240
603;200
604;160
605;120
606;120
607;100
608;80
609;20
610;20
611;20
612;20
613;-20
614;0
615;400
616;350
617;300
618;225
619;175
620;175
621;125
622;125
623;50
624;0
625;0
626;0
627;0
628;0
629;0
630;0
631;0
632;0
633;0
634;175
635;158
636;142
637;125
638;75
639;42
640;42
641;25
642;17
643;17
644;0
